z,MARKER,RMS,Apeak_maxG,X_G,Y_G,Z_G,V,lat,lon
1,L-BLUE,0.3186,0.953871155,-0.2077,0.0185,-0.9308,63.1743,43.8770016,20.3503466
2,D-BLUE,0.3495,1.06479514,0.3241,0.0648,1.0122,61.6604,43.8770199,20.3485216
3,D-BLUE,0.3765,1.037073103,0.2323,0.1302,1.0023,63.6913,43.8772566,20.3527933
4,D-GREEN,0.3204,1.475831254,1.2342,-0.0259,0.8088,57.632,43.8774966,20.3465766
5,D-BLUE,0.3918,1.083207732,0.0833,0.0917,1.0761,64.6048,43.8777683,20.354905
6,L-BLUE,0.3834,1.239361634,-0.0837,0.0529,-1.2354,61.3139,43.8780416,20.3561583
7,D-BLUE,0.3273,1.231366497,0.088,-0.1444,1.2197,56.5276,43.8782016,20.3447316
8,D-BLUE,0.3909,2.062240381,-0.1433,-0.0253,2.0571,55.5585,43.8784016,20.359055
9,D-BLUE,0.4806,1.646804985,0.2779,0.074,1.6215,55.3621,43.8785783,20.361155
10,L-RED,0.8639,1.640669467,0.0027,-1.521,0.6151,59.6184,43.8787316,20.3631516
11,L-BLUE,0.8782,2.006397194,-0.3299,0.3788,-1.9425,61.0563,43.8788666,20.3646166
12,D-BLUE,0.4679,2.487518593,0.5475,0.0095,2.4265,61.7197,43.879175,20.3673383
13,L-BLUE,0.3383,0.930153735,-0.3274,0.2289,-0.84,66.5097,43.8793183,20.3422716
14,L-BLUE,0.3071,1.077574076,0.0003,-0.1802,-1.0624,58.7994,43.8795016,20.3687
15,D-RED,0.9335,1.772500914,-0.0507,1.4916,-0.9562,62.5758,43.8797716,20.3406466
16,D-BLUE,0.2053,0.453635239,-0.1003,-0.115,0.4272,37.7623,43.8800549,20.338975
17,D-BLUE,0.3365,1.05535413,0.0993,0.2348,1.0241,60.8081,43.8801233,20.3703516
18,L-BLUE,0.1985,0.505146919,-0.0669,0.1682,-0.4716,7.2619,43.8801916,20.3383033
19,D-BLUE,0.255,0.552503086,0.1321,-0.2182,0.4901,31.312,43.88041,20.3385983
20,D-BLUE,0.3704,1.205957047,0.239,0.0388,1.1814,58.1471,43.880995,20.3722333
21,D-GREEN,0.9514,1.622406404,1.395,-0.0377,0.8275,42.8006,43.8811016,20.339215
22,D-BLUE,0.3853,1.423324397,0.6972,-0.4619,1.1517,61.8105,43.881935,20.3743916
23,D-BLUE,0.272,1.707044926,0.1149,-0.2794,1.6801,41.0458,43.882235,20.3401933
24,D-BLUE,0.3451,0.942322057,0.1501,-0.0407,0.9294,61.577,43.88258,20.3758216
25,L-RED,0.8928,2.106020904,-0.344,1.4887,-1.4494,44.1514,43.8828916,20.3406233
26,D-BLUE,0.4407,1.280482198,0.1287,-0.3589,1.2224,64.8142,43.8838866,20.3780433
27,D-BLUE,1.3388,1.64524417,0.3417,0.275,1.5857,40.3639,43.8840566,20.3418833
28,D-BLUE,0.3284,1.184766753,-0.0736,0.3831,1.1187,37.5807,43.8849183,20.3423933
29,L-BLUE,0.3277,1.083220075,-0.0664,-0.0134,-1.0811,35.1866,43.8856416,20.3426699
30,D-BLUE,0.3793,1.602759037,0.2872,0.0975,1.5738,14.0569,43.8863216,20.3429016
31,D-BLUE,0.811,1.824869867,0.1735,-0.2353,1.8013,26.4923,43.8869583,20.3429783
