RB,MARKER,RMS,Apeak_maxG,X_G,Y_G,Z_G,V,lat,lon
1,L-BLUE,0.2257,0.811045042,-0.0907,0.2361,-0.7706,31.0044,43.9119799,20.40789
2,D-RED,0.867,1.858082931,-0.30818,1.40224,-1.1795,44.5702,43.9131466,20.4077333
3,D-BLUE,0.2775,0.682299531,0.0744,-0.0177,0.678,50.0755,43.9142916,20.4076216
4,D-BLUE,0.8366,1.492897163,0.6467,-0.5099,1.2452,63.0298,43.91576,20.4076283
5,L-BLUE,0.3746,1.229368623,-0.1858,0.2046,-1.1979,65.9687,43.9170633,20.4077666
6,L-BLUE,0.3983,1.203938973,-0.227,-0.3257,-1.1366,69.1632,43.9191633,20.40826
7,L-BLUE,0.4295,1.33545946,-0.2333,-0.1328,-1.3082,68.9242,43.9201116,20.4083666
8,D-BLUE,0.3092,0.8295156,0.1613,0.089,0.8088,72.821,43.9216766,20.4089266
9,L-BLUE,0.3885,0.897368899,0.0862,0.2927,-0.8439,68.3664,43.9236366,20.4093533
10,D-GREEN,0.8727,1.247221753,1.1656,-0.4093,-0.1715,68.7222,43.9255333,20.4097016
11,D-BLUE,0.3771,1.111941658,0.0351,-0.2268,1.088,69.5968,43.9273416,20.4099983
12,L-BLUE,0.3611,1.149901531,-0.0519,0.0874,-1.1454,69.8433,43.92949,20.410505
13,D-BLUE,0.3247,0.726426899,0.041,-0.01,0.7252,71.2738,43.9305416,20.410765
14,D-BLUE,0.4414,1.751254059,0.123,-0.0283,1.7467,72.128,43.9326066,20.4111533
15,L-BLUE,1.2907,2.372985792,-0.1437,0.1512,-2.3638,71.3535,43.9348233,20.411725
16,L-BLUE,0.3685,0.929794875,-0.1489,-0.1843,-0.8991,70.8661,43.93555,20.411865
17,L-BLUE,0.3462,0.950703561,-0.1919,-0.0726,-0.9283,26.346,43.9374983,20.4122433
18,L-RED,0.3658,2.28372883,0.3082,-1.7873,1.3878,71.1793,43.9395049,20.41285
19,D-BLUE,0.3134,0.96820472,0.0229,-0.2021,0.9466,78.3652,43.94193,20.4133766
20,L-RED,0.8164,1.502574264,-0.7551,-1.235,0.4029,86.8983,43.9435583,20.41367
21,D-BLUE,0.4286,1.365556432,0.2768,-0.1743,1.3258,103.9033,43.9463566,20.4142866
22,L-BLUE,0.4821,1.140981301,-0.4894,-0.1786,-1.0151,106.9941,43.9481766,20.4147
